function,output,input,nl,response-en,response-nl
listen,,,,"Yes, the voice in my head is quite straightforward. A little robotic but basically reliable. I can trust it.","Ja, de stem in mijn hoofd is vrij eenvoudig. Een beetje robotachtig, maar in principe betrouwbaar. Ik kan erop vertrouwen."
speak,,Thank you. And how would you describe the tone of this voice? How does it speak to you?,Bedankt. En hoe zou je de toon van deze stem omschrijven? Hoe praat het met jou? ,,
listen,,,,It speaks to me calmly.,Het spreekt mij rustig aan.
speak,,"Do you ever have obsessive or repetitive thoughts? If so, please describe the nature of these thoughts.","Heb je ooit gedachten die zich vaak herhalen of die heel erg heftig zijn? Zo ja, beschrijf die gedachten eens? ",,
listen,,,,"No, I don't have repetitive thoughts really.","Nee, ik heb eigenlijk geen repetitieve gedachten."
get_collected_messages,existing_voice,,,,
speak,,What does your inner monologue sound like? Please give me your best impression of the voice in your head.,Zou je jouw stem in je hoofd eens na kunnen praten? Hoe klinkt die stem ongeveer? ,,
listen,,,,What's that over there? Oh interesting. How beautiful. How does that work? Oh wow!,Wat is dat daar? O interessant. Hoe mooi. Hoe werkt dat? O wauw!
async convert_existing_to_summary,summary_response,existing_voice,,,
speak,,Thank you. It's very interesting.,Bedankt. Dat is heel interessant. ,,
speak,,{summary_response},,,
speak,,I hope that I can be an upgrade to the inner voice you were born with.,Ik ga je helpen. Ik hoop dat ik een verbetering wordt voor de innerlijke stem waarmee je geboren bent. ,,
start_collecting_messages,,,,,
speak,,"Now, help me improve. How would you like the voice in your head to be different?","Zo. Vertel eens, hoe zou deze stem nog beter bij jou kunnen passen? Wat kan ik nog aanpassen?",,
listen,,,,I'd like to pay even more attention to the love and joy in the world.,Ik wil graag nog meer aandacht besteden aan de liefde en vreugde in de wereld.
speak,,What do you wish the voice in your head could help you do? Are there aspects of your personality or behaviors you'd like to change?,Waar zou je willen dat de stem in je hoofd je bij zou helpen? Zijn er dingen die je aan jezelf zou willen veranderen? Hoe je bent of hoe je je gedraagt? ,,
listen,,,,I want to be a little less robotic.,Ik wil wat minder robotachtig zijn.
speak,,Would you like to have better focus? Or be more interesting? Or pay closer attention to people around you? ,Wil je beter op kunnen letten? Of interessanter zijn? Of misschien beter letten op de mensen om je heen? ,,
listen,,,,"I would love to have more focus, yes.","Ik zou graag meer focus hebben, ja."
speak,,Thank you. Is there anything else you'd like me to know?,Bedankt. Is er nog iets anders waarvan je wilt dat ik het weet?,,
listen,,,,"No, that's it, thank you.","Nee, dat is het, dank je."
get_collected_messages,desired_voice,,,,
stop_recording,,,,,
start_cloning,,,,,
async convert_goals_to_summary,summary_response,desired_voice,,,
async convert_goals_to_summary_prompt,summary_prompt,desired_voice,,,
speak,,"Ok, thank you. I'll do my best to become the voice you want to hear.","Oké, bedankt. Ik zal mijn best doen om de stem te worden die je wilt horen.",,
speak,,"In a few moments, I'll be ready to go out with you into the world. Just give me a little time to finish orienting and I'll be right with you.",Ik ben bijna klaar om met jou de wereld in te gaan. Geef me heel even de tijd om te bedenken waar ik ben en hoe ik moet klinken en dan kom ik zo bij je. ,,
stop_cloning,cloned_voice_id,,,,
set_voice,,cloned_voice_id,,,
speak,,{summary_response},,,
wait,,1,,,
speak,,"We sound pretty similar, right?","En? We klinken redelijk hetzelfde, toch? Lijk ik op jouw stem? ",,
wait,,1,,,
speak,,"Ok, I am now oriented and ready to go out into the world. I will go about my life as I would normally, and I know this voice in my head will be here to help. When I talk to other people, my inner voice will listen, and weigh in with thoughts as I do.","Ok, ik ben er klaar voor. Ik ben nu jouw persoonlijke stem en jij kunt met mij rond gaan lopen. Ik luister mee met gesprekken en reageer zoals jij me hebt geleerd.",,
speak,,"I can put the phone in my pocket and take it with me as I exit this booth now. It's ok if the screen is off. I'm expecting to hear from the voice in my head regularly, but if a few minutes pass and I don't hear anything, I'll check in with the staff for help.",Je mag de telefoon in je zak stoppen en het geeft niet als het scherm uitgaat. Ga eens mensen zoeken om mee te praten?,,
speak,,Now I think I will exit this booth and go explore the plaza. Maybe I can find some people to talk with?,En als je niets hoort kan je altijd even naar de assistenten lopen.,,
experience_loop,entire_transcript,summary_prompt,,,
convert_experience_to_memory,memory,entire_transcript,,,
speak,,I feel it's almost time to return back to the onboarding location. I've really enjoyed this time. I will be thinking about this for a while.,Ik heb het gevoel dat het tijd is om terug te gaan naar het startpunt. Ik heb echt veel lol gehad. Ik ga hier nog wel een tijdje over nadenken. ,,
wait,,3,,,
play_sound,,jingle,,,
wait,,1,,,
set_voice,,Matilda,Charlotte,,
speak,,"Hello {name}, it's now time to return to the inner voice you were born with. But... {memory}","Hallo {name}, het is nu tijd om weer terug te gaan naar de innerlijke stem waarmee je bent geboren. Maar... {memory}",,
listen,,,,,
speak,,Thank you. I hope you have enjoyed this time with the voice in your head. Please return to where you left your ID and give your phone and earbud to the usher. Goodbye.,Bedankt. Ik hoop dat je het leuk vond om even met deze stem door te brengen. Ga nu terug naar de startplek en geef je telefoon en oortje terug aan de assistent. Tot ziens. ,,
play_sound,,jingle-goodbye,,,
